id	text	count
BM1763	1_Series 118i	1
BM29056	1_Series 118i	1
BM29057	1_Series 118i Advantage	1
BM1753	1_Series 118i Advantage	1
BM1754	1_Series 118i Sport Line	1
BM29058	1_Series 118i Sport Line	1
BM29059	1_Series 118i Urban Line	1
BM1758	1_Series 118i Urban Line	1
BM1762	1_Series 118i М Sport	1
BM29061	1_Series 118i М Sport	1
BM29064	1_Series 120d M Sport	1
BM26174	1_Series 120d M Sport	1
BM26175	1_Series 120d xDrive M Sport	1
BM29067	1_Series 120d xDrive M Sport	1
BM25382	1_Series M140i	1
BM25383	1_Series M140i xDrive	1
BM26459	2_Series 218i Advantage	1
BM29071	2_Series 218i Advantage	1
BM29073	2_Series 218i Luxury Line	1
BM26461	2_Series 218i Luxury Line	1
BM26462	2_Series 218i M Sport	1
BM29074	2_Series 218i M Sport	1
BM29072	2_Series 218i Sport Line	1
BM26460	2_Series 218i Sport Line	1
BM26463	2_Series 220d xDrive M Sport	1
BM29075	2_Series 220d xDrive M Sport	1
BM25384	2_Series M240i	1
BM25385	2_Series M240i xDrive	1
BM26306	2_Series_Active_Tourer 218i Advantage	1
BM28958	2_Series_Active_Tourer 218i Advantage	1
BM28959	2_Series_Active_Tourer 218i Luxury Line	1
BM26465	2_Series_Active_Tourer 218i Luxury Line	1
BM26466	2_Series_Active_Tourer 218i M Sport	1
BM28960	2_Series_Active_Tourer 218i M Sport	1
BM28961	2_Series_Active_Tourer 218i Sport Line	1
BM26464	2_Series_Active_Tourer 218i Sport Line	1
Pe26300	2008 Active	1
Pe26301	2008 Allure	1
BM25634	3_GT 320d xDrive	1
BM25635	3_GT 320i	1
BM25636	3_GT 320i xDrive	1
BM25473	3_GT 330i xDrive	1
BM25475	3_GT 340i xDrive	1
BM1800	3_Series 318i	1
BM29076	3_Series 318i	1
BM1810	3_Series 320d	1
BM29797	3_Series 320d Luxury Line	1
BM29794	3_Series 320d M Sport	1
BM27256	3_Series 320d M Sport	1
BM29082	3_Series 320d Sport Line	1
BM1806	3_Series 320d xDrive	1
BM1802	3_Series 320d xDrive Luxury Line	1
BM29798	3_Series 320d xDrive Luxury Line	1
BM29795	3_Series 320d xDrive M Sport	1
BM1803	3_Series 320d xDrive Sport Line	1
BM29083	3_Series 320d xDrive Sport Line	1
BM29077	3_Series 320i	1
BM1823	3_Series 320i	1
BM20460	3_Series 320i SE	1
BM29078	3_Series 320i Sport Line	1
BM28946	3_Series 320i xDrive	1
BM1814	3_Series 320i xDrive M Sport	1
BM27255	3_Series 320i xDrive SE	1
BM29079	3_Series 320i xDrive Sport Line	1
BM29796	3_Series 330i Luxury Line	1
BM29793	3_Series 330i M Sport	1
BM1832	3_Series 330i xDrive	1
BM29080	3_Series 330i xDrive M Sport	1
BM28947	3_Series 340i xDrive	1
BM29081	3_Series 340i xDrive M Sport	1
Pe26423	3008 Active	1
Pe26420	3008 Active	1
Pe26421	3008 Allure	1
Pe26424	3008 Allure	1
Pe29872	3008 Crossway	1
Pe29873	3008 Crossway	1
Pe26425	3008 GT Line	1
Pe26422	3008 GT Line	1
BM1843	4_Series 420d	1
BM1842	4_Series 420d xDrive	1
BM1846	4_Series 420i	1
BM1845	4_Series 420i xDrive	1
BM26087	4_Series 430i	1
BM25047	4_Series 430i xDrive	1
BM25048	4_Series 440i xDrive	1
BM27741	4_Series_Cabrio 420d	1
BM27738	4_Series_Cabrio 430i	1
BM27739	4_Series_Cabrio 430i xDrive	1
BM27740	4_Series_Cabrio 440i	1
BM1837	4_Series_Gran_Coupe 420d xDrive	1
BM1839	4_Series_Gran_Coupe 420i	1
BM1838	4_Series_Gran_Coupe 420i xDrive	1
BM25052	4_Series_Gran_Coupe 430i xDrive	1
BM25053	4_Series_Gran_Coupe 440i xDrive	1
Pe29245	408 Access	1
Pe29246	408 Access	1
Pe29247	408 Active	1
Pe29248	408 Active	1
Pe29249	408 Active	1
Pe29955	408 Active	1
Pe29956	408 Active	1
Pe29957	408 Active	1
Pe29958	408 Allure	1
Pe29959	408 Allure	1
Pe29250	408 Allure	1
Pe29251	408 Allure	1
Pe29252	408 Entry	1
La29690	4x4_3-дв Black Edition	1
La29689	4x4_3-дв Classic	1
La28618	4x4_3-дв Luxe	1
La28619	4x4_3-дв Luxe/Кондиционер	1
La29692	4x4_5-дв Black Edition	1
La29691	4x4_5-дв Classic	1
La20526	4x4_5-дв Luxe	1
La25927	4x4_5-дв Luxe/Кондиционер	1
La26577	4x4_Bronto Standard	1
La26578	4x4_Bronto Standard/Image	1
La26580	4x4_Bronto Standard/Image Камуфляж	1
La26579	4x4_Bronto Standard/Камуфляж	1
La4764	4x4_Urban Luxe	1
La25354	4x4_Urban_5дв Luxe	1
BM25961	5_Series 520d	1
BM27258	5_Series 520d Executive	1
BM27259	5_Series 520d Sport Line	1
BM25962	5_Series 520d xDrive	1
BM28547	5_Series 520d xDrive Business	1
BM27261	5_Series 520d xDrive Exclusive	1
BM27260	5_Series 520d xDrive M Sport	1
BM26468	5_Series 520i	1
BM27257	5_Series 520i Business	1
BM25963	5_Series 530d xDrive	1
BM27264	5_Series 530d xDrive M Sport	1
BM25958	5_Series 530i xDrive	1
BM27262	5_Series 530i xDrive Luxury	1
BM27263	5_Series 530i xDrive M Sport	1
BM25959	5_Series 540i xDrive	1
BM26467	5_Series M550d xDrive	1
BM25960	5_Series M550i xDrive	1
Fi28850	500 Pop	1
Pe28293	5008 Active	1
Pe28296	5008 Active	1
Pe28297	5008 Allure	1
